MonthlyCharges,Contract
18.85,Month-to-month
18.95,Month-to-month
19,Month-to-month
19.1,Month-to-month
19.25,Month-to-month
19.3,Month-to-month
19.3,One year
19.35,Month-to-month
19.35,Two year
19.4,Month-to-month
19.45,Month-to-month
19.5,Month-to-month
19.55,Month-to-month
19.6,Month-to-month
19.65,Month-to-month
19.7,Month-to-month
19.75,Month-to-month
19.75,One year
19.75,Two year
19.8,Month-to-month
19.8,One year
19.85,Month-to-month
19.85,One year
19.9,Month-to-month
19.95,Month-to-month
20,Month-to-month
20.05,Month-to-month
20.1,Month-to-month
20.15,Month-to-month
20.15,One year
20.2,Month-to-month
20.25,Month-to-month
20.3,Month-to-month
20.35,Month-to-month
20.4,Month-to-month
20.4,One year
20.5,Month-to-month
20.55,Month-to-month
20.6,Month-to-month
20.65,Month-to-month
20.8,One year
20.85,Month-to-month
20.9,Month-to-month
20.95,Month-to-month
21,Month-to-month
21.05,Month-to-month
23.15,Month-to-month
23.45,Month-to-month
23.9,Month-to-month
24.05,Month-to-month
24.1,Month-to-month
24.1,One year
24.25,Month-to-month
24.35,Month-to-month
24.4,Month-to-month
24.45,Month-to-month
24.5,Two year
24.6,Month-to-month
24.75,Month-to-month
24.75,Two year
24.8,Month-to-month
24.9,One year
24.95,Month-to-month
25.05,Month-to-month
25.1,Month-to-month
25.15,Month-to-month
25.15,Two year
25.2,Month-to-month
25.25,Month-to-month
25.3,Month-to-month
25.3,One year
25.4,Month-to-month
25.5,Month-to-month
25.7,Month-to-month
25.8,Month-to-month
25.9,Month-to-month
28.45,Month-to-month
28.6,Month-to-month
29.2,Month-to-month
29.4,Month-to-month
29.5,Month-to-month
29.6,Month-to-month
29.65,Month-to-month
29.7,Month-to-month
29.85,Month-to-month
29.95,Month-to-month
30.1,Month-to-month
30.2,Month-to-month
30.3,Month-to-month
30.35,Month-to-month
30.4,Month-to-month
30.45,Month-to-month
30.5,Month-to-month
30.6,Month-to-month
30.75,Month-to-month
30.9,Month-to-month
31,Month-to-month
31.05,Month-to-month
31.35,Month-to-month
33.5,Month-to-month
33.55,One year
33.65,Month-to-month
33.9,Month-to-month
34,Month-to-month
34.25,Month-to-month
34.5,Month-to-month
34.7,Month-to-month
34.7,One year
35,Month-to-month
35.05,Month-to-month
35.1,Month-to-month
35.15,Month-to-month
35.2,Month-to-month
35.25,Month-to-month
35.4,Month-to-month
35.45,Month-to-month
35.55,Month-to-month
35.75,Month-to-month
35.9,Month-to-month
36.45,Month-to-month
36.5,Month-to-month
36.85,Month-to-month
39,Month-to-month
39.05,Month-to-month
39.1,Month-to-month
39.3,Month-to-month
39.5,Month-to-month
39.65,Month-to-month
40,Month-to-month
40.05,Month-to-month
40.1,Month-to-month
40.15,Month-to-month
40.2,Month-to-month
40.3,Month-to-month
40.4,Month-to-month
40.65,Month-to-month
41.05,Month-to-month
41.15,Month-to-month
41.6,One year
41.9,Month-to-month
42.35,One year
42.6,Month-to-month
42.9,Month-to-month
43.25,Month-to-month
43.3,Month-to-month
43.65,Month-to-month
43.75,One year
43.95,Month-to-month
44.05,Month-to-month
44.1,Month-to-month
44.15,Month-to-month
44.2,Month-to-month
44.3,Month-to-month
44.35,Month-to-month
44.4,Month-to-month
44.45,Month-to-month
44.55,Month-to-month
44.6,Month-to-month
44.65,Month-to-month
44.7,Month-to-month
44.75,Month-to-month
44.85,Month-to-month
44.85,One year
44.9,Month-to-month
44.95,Month-to-month
45,Month-to-month
45.05,Month-to-month
45.1,Month-to-month
45.15,Month-to-month
45.25,Month-to-month
45.25,One year
45.3,Month-to-month
45.35,Month-to-month
45.4,Month-to-month
45.55,Month-to-month
45.6,Month-to-month
45.65,Month-to-month
45.7,Month-to-month
45.75,Month-to-month
45.8,Month-to-month
45.85,Month-to-month
45.95,Month-to-month
46,Month-to-month
46.05,Month-to-month
46.2,Month-to-month
46.3,Month-to-month
46.35,Month-to-month
47.15,Month-to-month
47.8,Month-to-month
47.85,Two year
47.95,Month-to-month
48.35,Month-to-month
48.35,One year
48.55,Month-to-month
48.6,Month-to-month
48.7,Month-to-month
48.75,Month-to-month
48.8,Month-to-month
48.95,Month-to-month
49.05,Month-to-month
49.1,Month-to-month
49.15,Month-to-month
49.2,Month-to-month
49.25,Month-to-month
49.35,Month-to-month
49.35,Two year
49.4,Month-to-month
49.55,Month-to-month
49.6,Month-to-month
49.65,Month-to-month
49.75,One year
49.85,Month-to-month
49.9,Month-to-month
49.95,Month-to-month
50.05,Month-to-month
50.1,Month-to-month
50.15,Month-to-month
50.25,Month-to-month
50.35,Month-to-month
50.4,Month-to-month
50.45,Month-to-month
50.5,Month-to-month
